active_burrows,block,year,month,weight_gain_mean
54,1,2022,August,0.3535627610992482
58.06060606060606,1,2022,August,0.35669072303946936
62.121212121212125,1,2022,August,0.35980714042254347
66.18181818181819,1,2022,August,0.3629004686913234
70.24242424242425,1,2022,August,0.36595980875298473
74.30303030303031,1,2022,August,0.3689790548274344
78.36363636363636,1,2022,August,0.3719542585162354
82.42424242424242,1,2022,August,0.37488148232676355
86.48484848484848,1,2022,August,0.3777574186979016
90.54545454545455,1,2022,August,0.3805805129802453
94.60606060606061,1,2022,August,0.3833482736451054
98.66666666666666,1,2022,August,0.38605662878498437
102.72727272727272,1,2022,August,0.38869791218815075
106.78787878787878,1,2022,August,0.3912632350507378
110.84848484848484,1,2022,August,0.3937427758697152
114.9090909090909,1,2022,August,0.3961261592096611
118.96969696969697,1,2022,August,0.3984053339656718
123.03030303030303,1,2022,August,0.4005732406301399
127.0909090909091,1,2022,August,0.40262282966901664
131.15151515151516,1,2022,August,0.4045483333754305
135.21212121212122,1,2022,August,0.4063489355036234
139.27272727272725,1,2022,August,0.4080278926923242
143.33333333333331,1,2022,August,0.40959108810427125
147.39393939393938,1,2022,August,0.41104449652284736
151.45454545454544,1,2022,August,0.4123940927314357
155.5151515151515,1,2022,August,0.4136457505387181
159.57575757575756,1,2022,August,0.41480361249289177
163.63636363636363,1,2022,August,0.41586889876628885
167.6969696969697,1,2022,August,0.4168418440396805
171.75757575757575,1,2022,August,0.41772118292710037
175.8181818181818,1,2022,August,0.41850516070374677
179.87878787878788,1,2022,August,0.4191920223725094
183.93939393939394,1,2022,August,0.41978001293627865
188,1,2022,August,0.4202673773979443
192.06060606060606,1,2022,August,0.42065236076039647
196.12121212121212,1,2022,August,0.42093320802652534
200.1818181818182,1,2022,August,0.4211081641992206
204.24242424242425,1,2022,August,0.42117547430741575
208.3030303030303,1,2022,August,0.42113352891751443
212.36363636363637,1,2022,August,0.4209812056043283
216.42424242424244,1,2022,August,0.42071748363665507
220.48484848484847,1,2022,August,0.4203412769519691
224.54545454545453,1,2022,August,0.4198513078895625
228.6060606060606,1,2022,August,0.4192462638463079
232.66666666666666,1,2022,August,0.4185248322190782
236.72727272727272,1,2022,August,0.4176857004047462
240.78787878787878,1,2022,August,0.4167275558001843
244.84848484848484,1,2022,August,0.41564908580226545
248.9090909090909,1,2022,August,0.4144489778078625
252.96969696969697,1,2022,August,0.41312723961526987
257.030303030303,1,2022,August,0.4116895276576006
261.0909090909091,1,2022,August,0.41014300857176
265.1515151515151,1,2022,August,0.4084948490105117
269.21212121212125,1,2022,August,0.4067522156266191
273.27272727272725,1,2022,August,0.40492227507284617
277.33333333333337,1,2022,August,0.4030121940019561
281.3939393939394,1,2022,August,0.40102913906671267
285.45454545454544,1,2022,August,0.39898019389660055
289.5151515151515,1,2022,August,0.3968712216119934
293.57575757575756,1,2022,August,0.3947071567917185
297.6363636363636,1,2022,August,0.3924929107565993
301.6969696969697,1,2022,August,0.39023339482745967
305.75757575757575,1,2022,August,0.3879327816583572
309.8181818181818,1,2022,August,0.38559154518591676
313.8787878787879,1,2022,August,0.3832090040626184
317.93939393939394,1,2022,August,0.38078447655352066
322,1,2022,August,0.37831728092368255
326.06060606060606,1,2022,August,0.37580673543816323
330.1212121212121,1,2022,August,0.3732521638795573
334.1818181818182,1,2022,August,0.3706534126239033
338.24242424242425,1,2022,August,0.3680112730748286
342.3030303030303,1,2022,August,0.36532663605171545
346.3636363636364,1,2022,August,0.36260039237394526
350.42424242424244,1,2022,August,0.35983343286090064
354.4848484848485,1,2022,August,0.35702675935458916
358.54545454545456,1,2022,August,0.3541822670462067
362.6060606060606,1,2022,August,0.35130232587970733
366.6666666666667,1,2022,August,0.3483893127871941
370.72727272727275,1,2022,August,0.34544560470077035
374.7878787878788,1,2022,August,0.3424735785525391
378.8484848484849,1,2022,August,0.3394756112746039
382.9090909090909,1,2022,August,0.3364540797990677
386.96969696969694,1,2022,August,0.33341136105803404
391.030303030303,1,2022,August,0.3303498319836058
395.09090909090907,1,2022,August,0.32727186950788645
399.1515151515151,1,2022,August,0.32417985056297904
403.2121212121212,1,2022,August,0.3210761520809867
407.27272727272725,1,2022,August,0.31796315099401296
411.3333333333333,1,2022,August,0.3148432242341609
415.3939393939394,1,2022,August,0.31171874873353356
419.45454545454544,1,2022,August,0.308592083744772
423.5151515151515,1,2022,August,0.30546469549919475
427.57575757575756,1,2022,August,0.302336754741968
431.6363636363636,1,2022,August,0.29920833053704665
435.6969696969697,1,2022,August,0.29607949194838823
439.75757575757575,1,2022,August,0.29295030803994815
443.8181818181818,1,2022,August,0.2898208478756831
447.8787878787879,1,2022,August,0.28669118051954956
451.93939393939394,1,2022,August,0.28356137503550305
456,1,2022,August,0.2804315004875001
