block,year,month,pika_treatment,posion_plant_treatment,active_burrows,weight_gain_mean
1,2022,August,pika,S. chamaejasme,127,0.45
1,2022,July,pika,S. chamaejasme,82,0.35
1,2022,June,pika,S. chamaejasme,54,0.2833333333333333
1,2023,August,pika,S. chamaejasme,283,0.3833333333333333
1,2023,July,pika,S. chamaejasme,302,0.33333333333333337
1,2023,June,pika,S. chamaejasme,249,0.4166666666666667
2,2022,August,pika,S. chamaejasme,156,0.3833333333333333
2,2022,July,pika,S. chamaejasme,133,0.41666666666666663
2,2022,June,pika,S. chamaejasme,95,0.3
2,2023,August,pika,S. chamaejasme,351,0.3333333333333333
2,2023,July,pika,S. chamaejasme,418,0.2833333333333333
2,2023,June,pika,S. chamaejasme,456,0.2
3,2022,August,pika,S. chamaejasme,216,0.43333333333333335
3,2022,July,pika,S. chamaejasme,352,0.3666666666666667
3,2022,June,pika,S. chamaejasme,329,0.35
3,2023,August,pika,S. chamaejasme,164,0.41666666666666663
3,2023,July,pika,S. chamaejasme,112,0.4166666666666667
3,2023,June,pika,S. chamaejasme,67,0.31666666666666665
4,2022,August,pika,S. chamaejasme,88,0.4
4,2022,July,pika,S. chamaejasme,110,0.35
4,2022,June,pika,S. chamaejasme,105,0.31666666666666665
4,2023,August,pika,S. chamaejasme,204,0.4
4,2023,July,pika,S. chamaejasme,153,0.35
4,2023,June,pika,S. chamaejasme,95,0.2833333333333333
