plot,s_chamaejasme_cover_percent,active_pika_burrow_no_100m2,yak_dung_no_100m2,s_chamaejasme_cover_percent_beta
1,6,2,15,0.07466666666666667
2,15,0,21,0.16166666666666665
3,7,3,13,0.08433333333333334
4,4,5,16,0.05533333333333333
5,23,0,5,0.239
6,12,1,14,0.13266666666666665
7,17,3,15,0.18100000000000002
8,9,0,21,0.10366666666666666
9,5,6,11,0.065
10,14,1,16,0.15200000000000002
11,26,0,9,0.26799999999999996
12,5,7,22,0.065
13,11,2,16,0.123
14,32,0,7,0.32599999999999996
15,5,5,19,0.065
16,13,1,15,0.1423333333333333
17,4,2,6,0.05533333333333333
18,17,4,13,0.18100000000000002
19,24,3,8,0.24866666666666667
20,28,0,5,0.2873333333333334
21,7,3,17,0.08433333333333334
22,5,4,20,0.065
23,10,9,8,0.11333333333333334
24,9,5,14,0.10366666666666666
25,6,3,21,0.07466666666666667
26,13,1,13,0.1423333333333333
27,24,0,10,0.24866666666666667
28,30,1,4,0.30666666666666664
29,11,7,12,0.123
30,8,2,20,0.094
