transect,plant_group,month,animal,grazing_freq,grazing_freq_beta
1,Sedges,June,yak,50,0.5
1,Sedges,July,yak,70,0.6977777777777777
1,Sedges,August,yak,30,0.3022222222222222
2,Sedges,June,yak,70,0.6977777777777777
2,Sedges,July,yak,40,0.40111111111111114
2,Sedges,August,yak,60,0.5988888888888889
3,Sedges,June,yak,40,0.40111111111111114
3,Sedges,July,yak,50,0.5
3,Sedges,August,yak,40,0.40111111111111114
4,Sedges,June,yak,20,0.20333333333333334
4,Sedges,July,yak,20,0.20333333333333334
4,Sedges,August,yak,40,0.40111111111111114
5,Sedges,June,yak,40,0.40111111111111114
5,Sedges,July,yak,80,0.7966666666666667
5,Sedges,August,yak,20,0.20333333333333334
6,Sedges,June,yak,60,0.5988888888888889
6,Sedges,July,yak,50,0.5
6,Sedges,August,yak,70,0.6977777777777777
7,Sedges,June,yak,30,0.3022222222222222
7,Sedges,July,yak,30,0.3022222222222222
7,Sedges,August,yak,50,0.5
8,Sedges,June,yak,50,0.5
8,Sedges,July,yak,70,0.6977777777777777
8,Sedges,August,yak,70,0.6977777777777777
9,Sedges,June,yak,70,0.6977777777777777
9,Sedges,July,yak,40,0.40111111111111114
9,Sedges,August,yak,30,0.3022222222222222
10,Sedges,June,yak,40,0.40111111111111114
10,Sedges,July,yak,10,0.10444444444444445
10,Sedges,August,yak,20,0.20333333333333334
1,Grasses,June,yak,80,0.7966666666666667
1,Grasses,July,yak,60,0.5988888888888889
1,Grasses,August,yak,100,0.9944444444444445
2,Grasses,June,yak,100,0.9944444444444445
2,Grasses,July,yak,70,0.6977777777777777
2,Grasses,August,yak,80,0.7966666666666667
3,Grasses,June,yak,70,0.6977777777777777
3,Grasses,July,yak,50,0.5
3,Grasses,August,yak,60,0.5988888888888889
4,Grasses,June,yak,60,0.5988888888888889
4,Grasses,July,yak,100,0.9944444444444445
4,Grasses,August,yak,70,0.6977777777777777
5,Grasses,June,yak,90,0.8955555555555557
5,Grasses,July,yak,90,0.8955555555555557
5,Grasses,August,yak,40,0.40111111111111114
6,Grasses,June,yak,50,0.5
6,Grasses,July,yak,70,0.6977777777777777
6,Grasses,August,yak,50,0.5
7,Grasses,June,yak,80,0.7966666666666667
7,Grasses,July,yak,80,0.7966666666666667
7,Grasses,August,yak,60,0.5988888888888889
8,Grasses,June,yak,70,0.6977777777777777
8,Grasses,July,yak,70,0.6977777777777777
8,Grasses,August,yak,90,0.8955555555555557
9,Grasses,June,yak,100,0.9944444444444445
9,Grasses,July,yak,80,0.7966666666666667
9,Grasses,August,yak,100,0.9944444444444445
10,Grasses,June,yak,70,0.6977777777777777
10,Grasses,July,yak,90,0.8955555555555557
10,Grasses,August,yak,50,0.5
1,Forbs,June,yak,10,0.10444444444444445
1,Forbs,July,yak,20,0.20333333333333334
1,Forbs,August,yak,30,0.3022222222222222
2,Forbs,June,yak,30,0.3022222222222222
2,Forbs,July,yak,10,0.10444444444444445
2,Forbs,August,yak,0,0.005555555555555556
3,Forbs,June,yak,10,0.10444444444444445
3,Forbs,July,yak,40,0.40111111111111114
3,Forbs,August,yak,20,0.20333333333333334
4,Forbs,June,yak,20,0.20333333333333334
4,Forbs,July,yak,0,0.005555555555555556
4,Forbs,August,yak,30,0.3022222222222222
5,Forbs,June,yak,50,0.5
5,Forbs,July,yak,10,0.10444444444444445
5,Forbs,August,yak,50,0.5
6,Forbs,June,yak,0,0.005555555555555556
6,Forbs,July,yak,0,0.005555555555555556
6,Forbs,August,yak,10,0.10444444444444445
7,Forbs,June,yak,10,0.10444444444444445
7,Forbs,July,yak,10,0.10444444444444445
7,Forbs,August,yak,0,0.005555555555555556
8,Forbs,June,yak,30,0.3022222222222222
8,Forbs,July,yak,30,0.3022222222222222
8,Forbs,August,yak,20,0.20333333333333334
9,Forbs,June,yak,0,0.005555555555555556
9,Forbs,July,yak,20,0.20333333333333334
9,Forbs,August,yak,0,0.005555555555555556
10,Forbs,June,yak,10,0.10444444444444445
10,Forbs,July,yak,0,0.005555555555555556
10,Forbs,August,yak,20,0.20333333333333334
