block,year,month,pika_treatment,posion_plant_treatment,weight_gain_mean,weight_gain_se,active_burrows
1,2022,August,pika,S. chamaejasme,0.45,0.04999999999999999,127
1,2022,July,pika,S. chamaejasme,0.35,0.016666666666666996,82
1,2022,June,pika,S. chamaejasme,0.2833333333333335,0.016666666666666493,54
1,2023,August,pika,S. chamaejasme,0.3833333333333335,0.016666666666666524,283
1,2023,July,pika,S. chamaejasme,0.33333333333333304,0.1,302
1,2023,June,pika,S. chamaejasme,0.4166666666666665,0.016666666666666493,249
2,2022,August,pika,S. chamaejasme,0.3833333333333335,0.08333333333333351,156
2,2022,July,pika,S. chamaejasme,0.41666666666666696,0.05000000000000002,133
2,2022,June,pika,S. chamaejasme,0.3,0.033333333333332986,95
2,2023,August,pika,S. chamaejasme,0.333333333333333,0,351
2,2023,July,pika,S. chamaejasme,0.2833333333333335,0.016666666666666493,418
2,2023,June,pika,S. chamaejasme,0.2,0.03333333333333301,456
3,2022,August,pika,S. chamaejasme,0.4333333333333335,0.03333333333333349,216
3,2022,July,pika,S. chamaejasme,0.3666666666666665,0.03333333333333352,352
3,2022,June,pika,S. chamaejasme,0.35,0.016666666666666996,329
3,2023,August,pika,S. chamaejasme,0.4166666666666665,0.08333333333333351,164
3,2023,July,pika,S. chamaejasme,0.4166666666666665,0.016666666666666493,112
3,2023,June,pika,S. chamaejasme,0.3166666666666665,0.016666666666666493,67
4,2022,August,pika,S. chamaejasme,0.4,0.033333333333333014,88
4,2022,July,pika,S. chamaejasme,0.35,0.016666666666666996,110
4,2022,June,pika,S. chamaejasme,0.3166666666666665,0.016666666666666493,105
4,2023,August,pika,S. chamaejasme,0.4,0,204
4,2023,July,pika,S. chamaejasme,0.35,0.016666666666666996,153
4,2023,June,pika,S. chamaejasme,0.2833333333333335,0.016666666666666493,95
